                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.8318,                 1.9233,                 1.2941,                      0,                      0,                      0,                      0,                      0,                 98.755,                      0,                0.00044,                0.00044,                0.00044
                      2,                0.86334,                 1.2602,                 1.3107,                      0,                      0,                      0,                      0,                      0,                 97.313,                      0,             0.00089406,             0.00089406,             0.00089406
                      3,                0.89012,                 1.2941,                 1.3448,                      0,                      0,                      0,                      0,                      0,                 106.32,                      0,               0.001342,               0.001342,               0.001342
                      4,                0.88146,                  1.168,                 1.2791,                      0,                      0,                      0,                      0,                      0,                 138.27,                      0,               0.001784,               0.001784,               0.001784
                      5,                0.92153,                 1.1989,                 1.3365,                      0,                      0,                      0,                      0,                      0,                  161.9,                      0,              0.0019472,              0.0019472,              0.0019472
                      6,                 0.8685,                 1.0883,                 1.3207,                      0,                      0,                      0,                      0,                      0,                 200.02,                      0,               0.001934,               0.001934,               0.001934
                      7,                0.86949,                 1.0272,                 1.2892,                      0,                      0,                      0,                      0,                      0,                 237.89,                      0,              0.0019208,              0.0019208,              0.0019208
                      8,                0.85379,                  1.023,                 1.2917,                      0,                      0,                      0,                      0,                      0,                 166.57,                      0,              0.0019076,              0.0019076,              0.0019076
                      9,                0.81376,                0.95274,                 1.2701,                      0,                      0,                      0,                      0,                      0,                 79.891,                      0,              0.0018944,              0.0018944,              0.0018944
                     10,                0.82527,                0.89884,                 1.2429,                      0,                      0,                      0,                      0,                      0,                  71.65,                      0,              0.0018812,              0.0018812,              0.0018812
                     11,                0.81004,                0.88938,                 1.2505,                      0,                      0,                      0,                      0,                      0,                 76.822,                      0,               0.001868,               0.001868,               0.001868
                     12,                0.77496,                0.82103,                 1.2169,                      0,                      0,                      0,                      0,                      0,                 122.91,                      0,              0.0018548,              0.0018548,              0.0018548
